route_group,split,release,official_split,collection,route_leakage_group,physical_collection_group,start_unix_ms,end_unix_ms,duration_s
2021/train/2021-04-22-US-SJC-1,source_train,2021,train,2021-04-22-US-SJC-1,route:d59072d9c9436c0f,collection:d59072d9c9436c0f,1619125357446,1619128248446,2891.0
2021/train/2021-04-28-US-SJC-1,source_train,2021,train,2021-04-28-US-SJC-1,route:f63e9e6667bd8f53,collection:f63e9e6667bd8f53,1619639956438,1619641974438,2018.0
2021/train/2021-04-29-US-SJC-2,source_train,2021,train,2021-04-29-US-SJC-2,route:63e179aa3a56f795,collection:63e179aa3a56f795,1619722728435,1619725058435,2330.0
2022/train/2021-12-07-US-LAX-1,source_train,2022,train,2021-12-07-US-LAX-1,route:22c258f041f5da7e,collection:22c258f041f5da7e,1638904972449,1638906730449,1758.0
2022/train/2021-12-07-US-LAX-2,source_train,2022,train,2021-12-07-US-LAX-2,route:1cbcbe8b488d4253,collection:1cbcbe8b488d4253,1638907813434,1638909664434,1851.0
2022/train/2021-12-08-US-LAX-3,source_train,2022,train,2021-12-08-US-LAX-3,route:bf6b0f7373d24bb4,collection:bf6b0f7373d24bb4,1638989539442,1638990955442,1416.0
2022/train/2021-12-08-US-LAX-5,source_train,2022,train,2021-12-08-US-LAX-5,route:f35e4180ffcc148b,collection:f35e4180ffcc148b,1638995321440,1638996243440,922.0
2022/train/2021-12-09-US-LAX-2,source_train,2022,train,2021-12-09-US-LAX-2,route:f150dcaf9328a6af,collection:f150dcaf9328a6af,1639069605444,1639070704444,1099.0
2023/train/2021-12-07-19-22-us-ca-lax-d,source_train,2023,train,2021-12-07-19-22-us-ca-lax-d,route:a64affffb5052b8c,collection:a64affffb5052b8c,1638904974999,1638906733999,1759.0
2023/train/2021-12-07-22-21-us-ca-lax-g,source_train,2023,train,2021-12-07-22-21-us-ca-lax-g,route:8b91a588a500dd46,collection:8b91a588a500dd46,1638915662999,1638917095999,1433.0
2023/train/2021-12-08-18-52-us-ca-lax-b,source_train,2023,train,2021-12-08-18-52-us-ca-lax-b,route:bf6b0f7373d24bb4,collection:bf6b0f7373d24bb4,1638989541999,1638990998999,1457.0
2023/train/2021-12-08-20-28-us-ca-lax-c,source_train,2023,train,2021-12-08-20-28-us-ca-lax-c,route:f35e4180ffcc148b,collection:f35e4180ffcc148b,1638995321440,1638996244440,923.0
2023/train/2021-12-09-17-06-us-ca-lax-e,source_train,2023,train,2021-12-09-17-06-us-ca-lax-e,route:f150dcaf9328a6af,collection:f150dcaf9328a6af,1639069606444,1639070705444,1099.0
2023/train/2022-02-24-18-29-us-ca-lax-o,source_train,2023,train,2022-02-24-18-29-us-ca-lax-o,route:a04ab2dd7cd9975f,collection:a04ab2dd7cd9975f,1645727389999,1645729854999,2465.0
2023/train/2022-04-01-18-22-us-ca-lax-t,source_train,2023,train,2022-04-01-18-22-us-ca-lax-t,route:2d5ef75a03452076,collection:2d5ef75a03452076,1648837352000,1648838814000,1462.0
2023/train/2022-07-26-21-01-us-ca-sjc-s,source_train,2023,train,2022-07-26-21-01-us-ca-sjc-s,route:2e21431840cea567,collection:2e21431840cea567,1658869305441,1658870784441,1479.0
2023/train/2022-08-04-20-07-us-ca-sjc-q,source_train,2023,train,2022-08-04-20-07-us-ca-sjc-q,route:2efdaea15a2bf055,collection:2efdaea15a2bf055,1659643672999,1659645071999,1399.0
2023/train/2023-05-24-20-26-us-ca-sjc-ge2,source_train,2023,train,2023-05-24-20-26-us-ca-sjc-ge2,route:962f45d1aa1caa8f,collection:11ea4b6ce99da1c2,1684960016431,1684961401431,1385.0
2023/train/2023-05-25-19-10-us-ca-sjc-be2,source_train,2023,train,2023-05-25-19-10-us-ca-sjc-be2,route:1d57408558321f2d,collection:1d57408558321f2d,1685041847436,1685043239436,1392.0
2023/train/2023-05-25-20-11-us-ca-sjc-he2,source_train,2023,train,2023-05-25-20-11-us-ca-sjc-he2,route:be66bb617123e1c6,collection:be66bb617123e1c6,1685045478438,1685046741438,1263.0
2023/train/2023-05-26-18-50-us-ca-sjc-ge2,source_train,2023,train,2023-05-26-18-50-us-ca-sjc-ge2,route:962f45d1aa1caa8f,collection:2916f1bf5aee2d48,1685127017000,1685128540000,1523.0
2023/train/2023-05-26-18-51-us-ca-sjc-ge2,source_train,2023,train,2023-05-26-18-51-us-ca-sjc-ge2,route:962f45d1aa1caa8f,collection:2916f1bf5aee2d48,1685127080442,1685128541442,1461.0
2023/train/2023-06-06-23-26-us-ca-sjc-he2,source_train,2023,train,2023-06-06-23-26-us-ca-sjc-he2,route:a9f9848c953c7ed0,collection:a9f9848c953c7ed0,1686094002000,1686095664000,1662.0
2023/train/2023-09-05-20-13-us-ca,source_train,2023,train,2023-09-05-20-13-us-ca,route:150f22ddf85c2e9f,collection:150f22ddf85c2e9f,1693944819448,1693946522448,1703.0
2023/train/2023-09-05-20-59-us-ca,source_train,2023,train,2023-09-05-20-59-us-ca,route:9ae33b123e322570,collection:9ae33b123e322570,1693947542441,1693949052441,1510.0
2023/train/2023-09-05-23-07-us-ca-routen,source_train,2023,train,2023-09-05-23-07-us-ca-routen,route:0d06d7d741455254,collection:0d06d7d741455254,1693955228436,1693956791436,1563.0
2023/train/2023-09-06-00-01-us-ca-routen,source_train,2023,train,2023-09-06-00-01-us-ca-routen,route:101061ba70d8fef5,collection:101061ba70d8fef5,1693958482433,1693960132433,1650.0
2023/train/2023-09-06-18-04-us-ca,source_train,2023,train,2023-09-06-18-04-us-ca,route:b7669ede672410e2,collection:b7669ede672410e2,1694023445445,1694024896445,1451.0
2023/train/2023-09-06-18-47-us-ca,source_train,2023,train,2023-09-06-18-47-us-ca,route:2f96a47e0ac82a4e,collection:2f96a47e0ac82a4e,1694026044443,1694027528443,1484.0
2023/train/2023-09-06-22-49-us-ca-routebb1,source_train,2023,train,2023-09-06-22-49-us-ca-routebb1,route:c87dfa9aaa2d0731,collection:c87dfa9aaa2d0731,1694040597999,1694042197999,1600.0
2023/train/2023-09-07-22-47-us-ca-routebc2,source_train,2023,train,2023-09-07-22-47-us-ca-routebc2,route:a3814f9794a32980,collection:a3814f9794a32980,1694126878000,1694128944000,2066.0
2023/train/2023-09-07-22-48-us-ca-routebc2,source_train,2023,train,2023-09-07-22-48-us-ca-routebc2,route:22a2f85b81f7389a,collection:22a2f85b81f7389a,1694126880443,1694128949443,2069.0
