split,route_group,trace,device,physical_session_group
source_train,2023/train/2023-09-05-23-07-us-ca-routen,2023/train/2023-09-05-23-07-us-ca-routen/pixel5,pixel5,collection:0d06d7d741455254|Pixel 5
source_train,2023/train/2023-09-05-23-07-us-ca-routen,2023/train/2023-09-05-23-07-us-ca-routen/pixel7pro,pixel7pro,collection:0d06d7d741455254|Pixel 7 Pro
source_train,2023/train/2023-09-06-00-01-us-ca-routen,2023/train/2023-09-06-00-01-us-ca-routen/pixel4xl,pixel4xl,collection:101061ba70d8fef5|Pixel 4 XL
source_train,2023/train/2023-09-06-00-01-us-ca-routen,2023/train/2023-09-06-00-01-us-ca-routen/pixel5a,pixel5a,collection:101061ba70d8fef5|Pixel 5
source_train,2023/train/2023-09-06-00-01-us-ca-routen,2023/train/2023-09-06-00-01-us-ca-routen/pixel6pro,pixel6pro,collection:101061ba70d8fef5|Pixel 6 Pro
source_train,2023/train/2023-09-06-00-01-us-ca-routen,2023/train/2023-09-06-00-01-us-ca-routen/sm-g955f,sm-g955f,collection:101061ba70d8fef5|sm-g955f
source_train,2023/train/2023-05-24-20-26-us-ca-sjc-ge2,2023/train/2023-05-24-20-26-us-ca-sjc-ge2/pixel5,pixel5,collection:11ea4b6ce99da1c2|Pixel 5
source_train,2023/train/2023-05-24-20-26-us-ca-sjc-ge2,2023/train/2023-05-24-20-26-us-ca-sjc-ge2/pixel7pro,pixel7pro,collection:11ea4b6ce99da1c2|Pixel 7 Pro
source_train,2023/train/2023-09-05-20-13-us-ca,2023/train/2023-09-05-20-13-us-ca/pixel5,pixel5,collection:150f22ddf85c2e9f|Pixel 5
source_train,2023/train/2023-09-05-20-13-us-ca,2023/train/2023-09-05-20-13-us-ca/pixel7pro,pixel7pro,collection:150f22ddf85c2e9f|Pixel 7 Pro
source_train,2022/train/2021-12-07-US-LAX-2,2022/train/2021-12-07-US-LAX-2/GooglePixel5,GooglePixel5,collection:1cbcbe8b488d4253|Pixel 5
source_train,2022/train/2021-12-07-US-LAX-2,2022/train/2021-12-07-US-LAX-2/GooglePixel6Pro,GooglePixel6Pro,collection:1cbcbe8b488d4253|Pixel 6 Pro
source_train,2022/train/2021-12-07-US-LAX-2,2022/train/2021-12-07-US-LAX-2/SamsungGalaxyS20Ultra,SamsungGalaxyS20Ultra,collection:1cbcbe8b488d4253|Samsung S20 Ultra
source_train,2022/train/2021-12-07-US-LAX-2,2022/train/2021-12-07-US-LAX-2/XiaomiMi8,XiaomiMi8,collection:1cbcbe8b488d4253|Xiaomi Mi 8
source_train,2023/train/2023-05-25-19-10-us-ca-sjc-be2,2023/train/2023-05-25-19-10-us-ca-sjc-be2/pixel5,pixel5,collection:1d57408558321f2d|Pixel 5
source_train,2023/train/2023-05-25-19-10-us-ca-sjc-be2,2023/train/2023-05-25-19-10-us-ca-sjc-be2/pixel7pro,pixel7pro,collection:1d57408558321f2d|Pixel 7 Pro
source_train,2023/train/2023-05-25-19-10-us-ca-sjc-be2,2023/train/2023-05-25-19-10-us-ca-sjc-be2/sm-s908b,sm-s908b,collection:1d57408558321f2d|Samsung S22 Ultra
source_train,2023/train/2023-09-07-22-48-us-ca-routebc2,2023/train/2023-09-07-22-48-us-ca-routebc2/pixel4xl,pixel4xl,collection:22a2f85b81f7389a|Pixel 4 XL
source_train,2023/train/2023-09-07-22-48-us-ca-routebc2,2023/train/2023-09-07-22-48-us-ca-routebc2/pixel5a,pixel5a,collection:22a2f85b81f7389a|Pixel 5
source_train,2022/train/2021-12-07-US-LAX-1,2022/train/2021-12-07-US-LAX-1/GooglePixel5,GooglePixel5,collection:22c258f041f5da7e|Pixel 5
